,us,eu,china,korea,taiwan,date
583,48865,89887,174486,168781,149389,2016/11/15
584,52953,92278,175255,159864,149848,2016/11/16
585,52882,93073,174003,160325,148231,2016/11/17
586,60215,98123,174872,161202,146819,2016/11/18
587,59064,97160,174722,170195,144911,2016/11/19
588,57003,100241,176379,170379,149947,2016/11/20
589,58847,98411,176565,170448,148924,2016/11/21
590,57268,100340,177499,167513,147406,2016/11/22
591,56419,98863,177124,172862,158391,2016/11/23
592,56752,102929,177995,171811,149559,2016/11/24
593,57034,96981,178273,170746,159366,2016/11/25
594,56276,98263,178569,182564,151405,2016/11/26
595,55891,99611,178252,182499,154726,2016/11/27
596,58034,98456,182244,182720,161985,2016/11/28
597,58488,98283,180143,184247,156445,2016/11/29
598,,,,,,2016/11/30
599,,,,,,2016/12/1
600,55380,98475,185979,186045,166946,2016/12/2
601,55755,99761,188611,185840,166659,2016/12/3
602,55480,98468,188844,176416,168298,2016/12/4
603,57293,99136,191981,187750,164619,2016/12/5
604,56610,99751,194144,190088,165108,2016/12/6
605,60027,99480,198839,195525,169936,2016/12/7
606,59018,100110,199724,192129,167066,2016/12/8
607,58641,99017,201608,203327,167741,2016/12/9
608,57289,98957,201124,198925,165333,2016/12/10
609,57428,100320,,203196,169498,2016/12/11
610,60016,100743,,197451,167294,2016/12/12
611,59267,100580,,210106,171622,2016/12/13
612,59415,101163,,223154,167009,2016/12/14
613,58444,100249,220196,207139,169701,2016/12/15
614,59095,100682,220165,212070,168948,2016/12/16
615,57637,100782,220249,231235,167826,2016/12/17
616,58461,100765,223922,263146,168062,2016/12/18
617,59863,102111,227471,252149,173760,2016/12/19
618,59679,101746,224125,242190,170790,2016/12/20
619,59620,102787,226630,234241,171272,2016/12/21
620,58815,101567,223492,243771,174757,2016/12/22
621,58053,101499,222515,240791,169390,2016/12/23
622,57091,100852,229645,251084,172849,2016/12/24
623,,,,,,2016/12/25
624,58812,102987,226217,261132,176965,2016/12/26
625,58843,103491,227510,257529,175386,2016/12/27
626,59321,104469,230875,269360,174063,2016/12/28
627,58438,103213,230736,251692,187468,2016/12/29
628,57570,102971,230135,254558,183262,2016/12/30
629,56929,103050,233997,237926,176605,2016/12/31
630,57770,104043,233023,259818,181240,2017/1/1
631,58730,105853,238163,258531,179122,2017/1/2
632,59556,108485,235917,248328,177657,2017/1/3
633,59933,108813,246679,244902,186574,2017/1/4
634,60479,108759,250802,254629,180893,2017/1/5
635,60115,108634,253642,258307,179328,2017/1/6
636,58511,110016,251126,260110,180620,2017/1/7
637,59654,110806,254644,266419,181204,2017/1/8
638,62086,115131,259300,260097,184844,2017/1/9
639,67044,123879,268915,258047,187301,2017/1/10
640,63629,120418,,,,2017/1/11
641,62250,117807,262506,265679,187441,2017/1/12
642,60862,119044,260658,254235,181663,2017/1/13
643,59622,117100,258529,267647,185997,2017/1/14
644,59430,117308,257540,267099,188905,2017/1/15
645,61327,118485,255744,262570,180789,2017/1/16
646,62480,117857,255325,257846,186138,2017/1/17
647,62706,117670,257565,253958,177692,2017/1/18
648,61473,115467,244277,249910,178743,2017/1/19
649,59975,116101,243873,244739,181151,2017/1/20
650,59790,115135,229193,259994,180966,2017/1/21
651,60217,115529,240555,259665,177976,2017/1/22
652,61268,115001,222667,262579,177968,2017/1/23
653,60256,116398,233719,246028,177946,2017/1/24
654,63992,112519,234509,240927,177640,2017/1/25
655,60655,113021,223714,242553,175857,2017/1/26
656,60207,113885,223525,230710,175486,2017/1/27
657,59660,113960,229050,239089,174851,2017/1/28
658,59234,113507,227945,237912,174464,2017/1/29
659,58488,114409,228829,249448,172504,2017/1/30
660,59948,114133,227106,231222,175173,2017/1/31
661,59448,110983,236108,223240,172471,2017/2/1
662,59796,110067,232976,227251,173912,2017/2/2
663,59302,110868,232782,237112,169227,2017/2/3
664,58863,111835,232595,226675,171743,2017/2/4
